z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,PT
-2.309980123,-1.605996095,-0.25332212,-0.547448916,-0.923280318,1.013232752,-0.206328589,0.285337302,0.747030329,0.389497163,0.949462032,-0.428992774,0.00368459,0.398918427,1.486816537,-0.858804987,-0.082410511,-0.228091699,0.365353349,-0.603688329,1
1.522113891,0.458648883,1.201103934,0.791209456,0.683838807,0.539821283,-0.862592542,0.192616378,-1.068800065,0.327324151,0.393970912,0.492990027,-0.401404002,-0.826961131,-1.221574218,0.141381006,0.29866017,0.148573806,0.662128043,-0.19261849,1
5.166665983,-1.234320956,-0.413342439,-0.158813627,0.416633445,2.175215238,-0.175671257,-0.951596345,-1.474775549,0.524661914,-0.739134146,-0.846117789,0.007207423,1.061599244,-0.842699162,-0.366170529,-0.119083755,1.078110716,-1.69558246,-0.180851852,0
-2.017202601,0.154080133,0.16159207,-0.461095638,1.318941606,0.501238689,-0.324452971,-1.40220361,0.161680293,0.213994035,1.407195268,-1.787900671,-1.14483211,0.535538695,-0.204608765,-1.048365721,-0.344471825,-0.155311074,0.103760177,0.605350711,1
-1.787960784,-0.732566122,2.16963402,1.231963233,-1.835337354,-3.545998023,-0.559587795,-0.855309619,1.383793852,-0.407229414,-0.506759531,0.081795577,1.42632953,2.202205655,-1.258376995,-0.869954191,-1.032871608,1.147463427,-0.222345749,-0.782893078,1
0.060458934,0.901402891,2.196099999,1.783442576,-0.607104901,0.436353232,1.341417351,-0.126186991,-0.052489632,0.863298699,0.049644168,-0.67872863,-0.614516136,-0.175937279,-0.060666207,-0.243126761,-0.761151843,-0.396456966,0.144504815,0.5486266,1
2.726820485,-0.304783492,1.39138948,-0.826497285,-2.326946822,-1.054445632,-2.558115373,-1.323927188,-2.512629711,-0.190549155,-1.163622618,-0.703125618,-1.009414786,-0.935993388,-2.240904572,0.442126631,1.623937537,-0.41402782,0.184810557,2.567670566,0
-1.432652302,-0.305990836,-0.952258975,-1.336571415,0.552412653,0.058783604,0.478947131,-0.584390039,0.413165991,-0.495587066,0.219195484,0.248657627,-1.040553767,0.005322534,0.128112337,0.788087297,0.014325714,0.236192246,0.817196188,-0.48410721,0
0.317798463,0.360691211,2.386061412,-0.993973199,0.745401388,1.051696099,-2.56766677,0.478210682,1.885045207,-0.566426829,1.746880767,-0.08150648,0.009934486,-0.572057137,0.099012685,0.552279171,0.589159363,0.08049381,0.027415894,-0.697731171,1
-0.360396421,0.29967412,-0.372755047,2.122264229,-0.5998065,2.192003551,-0.574782425,0.436586921,0.251328129,1.204425407,-0.183964138,0.853543875,0.21277763,0.78596107,-0.644132218,-0.38477679,1.146188053,-0.095068495,0.157467516,-0.303621722,0
-0.966503695,0.120049075,0.31115171,-0.375121711,-0.862256344,1.58392475,-1.24552269,-0.334484481,-1.540552062,-0.543621002,-2.875130346,0.222031361,0.517716023,0.835426511,-0.724484494,-0.124132918,0.313246637,-0.723602417,1.496632295,-1.125151686,0
-0.922525261,-1.378483121,-0.865452847,0.632615406,0.806474448,0.855690998,-1.167183375,0.283773187,-0.333748176,-0.761764991,1.686435754,-0.106648041,0.861375891,0.018362783,0.463935562,-0.189743439,0.778649588,-0.273308775,-0.506788606,-0.466513506,1
-2.369276578,-0.394201277,2.413461424,2.642358264,-0.811009057,-0.094357769,2.998754499,0.636366918,-0.429804426,0.978383636,1.127047335,-0.084662263,1.252147601,-0.855645116,-0.065431161,-1.973717266,0.733407014,1.273678776,0.619220002,0.081870746,1
